;Id;Poids;Couleur;Régularité;Intensité;ID_unit;Prob;Stratum
512;512;1,04;Bleu;3;4;510;0,00083717;1
3799;3799;1,01;Bleu;1;4;3785;0,00083717;1
5013;5013;0,7;Rouge;1;4;4996;0,00083717;1
10724;10724;0,75;Rouge;3;4;10689;0,00083717;1
11187;11187;0,32;Rouge;2;4;11152;0,00083717;1
18194;18194;0,42;Rouge;1;4;18139;0,00083717;1
19221;19221;0,26;Rouge;2;4;19166;0,00083717;1
24823;24823;2;Jaune;3;4;24746;0,00083717;1
28346;28346;0,71;Bleu;2;4;28253;0,00083717;1
31245;31245;0,33;Bleu;1;4;31147;0,00083717;1
31885;31885;1,05;Bleu;3;4;31780;0,00083717;1
35122;35122;1,06;Rouge;3;4;35008;0,00083717;1
35471;35471;1,07;Bleu;1;4;35353;0,00083717;1
37522;37522;0,45;Jaune;1;4;37400;0,00083717;1
38149;38149;1;Rouge;3;4;38024;0,00083717;1
41260;41260;0,38;Bleu;1;4;41127;0,00083717;1
42019;42019;1,23;Bleu;1;4;41886;0,00083717;1
47591;47591;0,32;Bleu;3;4;47434;0,00083717;1
66177;66177;0,73;Bleu;3;4;65966;0,00083717;1
70218;70218;0,38;Bleu;1;4;69996;0,00083717;1
81040;81040;0,52;Bleu;1;4;80772;0,00083717;1
87763;87763;1;Rouge;1;4;87474;0,00083717;1
90029;90029;0,55;Rouge;1;4;89735;0,00083717;1
94863;94863;0,41;Bleu;3;4;94554;0,00083717;1
109435;109435;1,01;Bleu;3;4;109078;0,00083717;1
111778;111778;0,9;Bleu;1;4;111417;0,00083717;1
1764;1764;0,34;Bleu;1;5;1759;0,002852418;2
2889;2889;0,32;Rouge;3;5;2879;0,002852418;2
8030;8030;0,3;Jaune;2;5;8004;0,002852418;2
8561;8561;1,02;Jaune;2;5;8533;0,002852418;2
8614;8614;1,71;Rouge;1;5;8586;0,002852418;2
11207;11207;1,03;Rouge;1;5;11172;0,002852418;2
11268;11268;0,71;Rouge;3;5;11233;0,002852418;2
11338;11338;0,42;Jaune;3;5;11303;0,002852418;2
12391;12391;1;Bleu;2;5;12353;0,002852418;2
12698;12698;0,3;Jaune;1;5;12659;0,002852418;2
13103;13103;0,7;Bleu;1;5;13064;0,002852418;2
14043;14043;0,3;Bleu;3;5;14000;0,002852418;2
14047;14047;1,01;Rouge;3;5;14004;0,002852418;2
16664;16664;0,71;Jaune;1;5;16611;0,002852418;2
16794;16794;0,51;Rouge;1;5;16741;0,002852418;2
17690;17690;1,35;Bleu;1;5;17637;0,002852418;2
18249;18249;0,94;Bleu;3;5;18194;0,002852418;2
18814;18814;0,31;Jaune;1;5;18759;0,002852418;2
19919;19919;0,31;Bleu;2;5;19860;0,002852418;2
20100;20100;0,3;Rouge;2;5;20041;0,002852418;2
20320;20320;0,3;Bleu;2;5;20261;0,002852418;2
20482;20482;1,49;Rouge;3;5;20423;0,002852418;2
22157;22157;1,53;Rouge;1;5;22089;0,002852418;2
22319;22319;0,31;Rouge;3;5;22250;0,002852418;2
22687;22687;0,34;Rouge;1;5;22618;0,002852418;2
23209;23209;0,71;Rouge;1;5;23139;0,002852418;2
25569;25569;0,23;Rouge;1;5;25486;0,002852418;2
26423;26423;1,12;Rouge;3;5;26338;0,002852418;2
26563;26563;2;Bleu;2;5;26477;0,002852418;2
27027;27027;0,76;Rouge;3;5;26938;0,002852418;2
27076;27076;0,54;Jaune;1;5;26987;0,002852418;2
28702;28702;0,71;Bleu;2;5;28608;0,002852418;2
29874;29874;0,4;Rouge;2;5;29778;0,002852418;2
30920;30920;1,01;Jaune;1;5;30822;0,002852418;2
30930;30930;0,91;Jaune;3;5;30832;0,002852418;2
32372;32372;2,03;Bleu;2;5;32264;0,002852418;2
33360;33360;1,21;Jaune;3;5;33250;0,002852418;2
34075;34075;1,03;Rouge;1;5;33964;0,002852418;2
35352;35352;1,31;Rouge;1;5;35234;0,002852418;2
35653;35653;1,09;Jaune;2;5;35535;0,002852418;2
37139;37139;1,61;Rouge;2;5;37017;0,002852418;2
37702;37702;0,46;Rouge;3;5;37580;0,002852418;2
37919;37919;0,3;Rouge;1;5;37796;0,002852418;2
38080;38080;1,55;Rouge;3;5;37956;0,002852418;2
40362;40362;0,3;Rouge;2;5;40233;0,002852418;2
40787;40787;1,74;Rouge;2;5;40656;0,002852418;2
45306;45306;0,34;Rouge;3;5;45158;0,002852418;2
45993;45993;0,71;Bleu;1;5;45843;0,002852418;2
46945;46945;0,35;Bleu;1;5;46792;0,002852418;2
47097;47097;0,7;Bleu;1;5;46943;0,002852418;2
47806;47806;1,2;Rouge;3;5;47648;0,002852418;2
50896;50896;1,04;Jaune;2;5;50732;0,002852418;2
52745;52745;1,21;Rouge;1;5;52579;0,002852418;2
53393;53393;0,32;Rouge;3;5;53226;0,002852418;2
53736;53736;0,79;Rouge;1;5;53569;0,002852418;2
54369;54369;0,9;Bleu;1;5;54200;0,002852418;2
54428;54428;1,01;Rouge;1;5;54259;0,002852418;2
55019;55019;0,94;Bleu;1;5;54848;0,002852418;2
56018;56018;0,4;Bleu;2;5;55841;0,002852418;2
56286;56286;0,34;Bleu;2;5;56108;0,002852418;2
57704;57704;1,51;Jaune;1;5;57518;0,002852418;2
57972;57972;1,5;Jaune;2;5;57786;0,002852418;2
59939;59939;0,41;Bleu;2;5;59750;0,002852418;2
60698;60698;1,26;Jaune;2;5;60507;0,002852418;2
60723;60723;1,15;Bleu;1;5;60532;0,002852418;2
61451;61451;0,75;Bleu;1;5;61256;0,002852418;2
62230;62230;0,52;Jaune;2;5;62032;0,002852418;2
62363;62363;0,31;Rouge;3;5;62165;0,002852418;2
62626;62626;0,52;Bleu;1;5;62426;0,002852418;2
62851;62851;0,99;Bleu;3;5;62651;0,002852418;2
63892;63892;0,3;Bleu;1;5;63689;0,002852418;2
65495;65495;2,01;Rouge;1;5;65286;0,002852418;2
65594;65594;0,53;Rouge;3;5;65383;0,002852418;2
66564;66564;0,32;Bleu;1;5;66353;0,002852418;2
66717;66717;0,73;Bleu;2;5;66505;0,002852418;2
67044;67044;0,73;Bleu;1;5;66829;0,002852418;2
68033;68033;0,27;Bleu;2;5;67817;0,002852418;2
69811;69811;1;Bleu;1;5;69589;0,002852418;2
69843;69843;1,31;Rouge;3;5;69621;0,002852418;2
70079;70079;0,71;Bleu;2;5;69857;0,002852418;2
70190;70190;0,3;Jaune;1;5;69968;0,002852418;2
70220;70220;0,51;Rouge;1;5;69998;0,002852418;2
71413;71413;2,05;Bleu;1;5;71183;0,002852418;2
72712;72712;0,39;Bleu;3;5;72476;0,002852418;2
75455;75455;1,07;Rouge;1;5;75204;0,002852418;2
75697;75697;1,74;Jaune;1;5;75445;0,002852418;2
75848;75848;0,4;Rouge;1;5;75596;0,002852418;2
79093;79093;0,51;Bleu;2;5;78829;0,002852418;2
79663;79663;0,32;Rouge;1;5;79396;0,002852418;2
80473;80473;0,31;Bleu;1;5;80205;0,002852418;2
81052;81052;0,35;Bleu;2;5;80784;0,002852418;2
82837;82837;1,01;Jaune;1;5;82567;0,002852418;2
83763;83763;0,71;Jaune;1;5;83484;0,002852418;2
86457;86457;0,38;Jaune;3;5;86171;0,002852418;2
86993;86993;0,93;Rouge;1;5;86704;0,002852418;2
88327;88327;0,72;Rouge;2;5;88037;0,002852418;2
88543;88543;0,91;Jaune;3;5;88253;0,002852418;2
89002;89002;0,33;Bleu;1;5;88712;0,002852418;2
89215;89215;0,9;Rouge;1;5;88924;0,002852418;2
90149;90149;1,01;Jaune;2;5;89855;0,002852418;2
90525;90525;1,01;Rouge;1;5;90226;0,002852418;2
90626;90626;1,11;Bleu;1;5;90327;0,002852418;2
91238;91238;0,32;Rouge;3;5;90938;0,002852418;2
91970;91970;1,2;Bleu;1;5;91669;0,002852418;2
92627;92627;0,9;Jaune;3;5;92323;0,002852418;2
93059;93059;0,83;Jaune;1;5;92753;0,002852418;2
94995;94995;0,72;Jaune;1;5;94685;0,002852418;2
97775;97775;1,01;Jaune;2;5;97458;0,002852418;2
97966;97966;0,39;Bleu;1;5;97649;0,002852418;2
98325;98325;1;Rouge;2;5;98008;0,002852418;2
98407;98407;0,3;Bleu;3;5;98089;0,002852418;2
98427;98427;0,41;Rouge;3;5;98109;0,002852418;2
100889;100889;1,02;Bleu;1;5;100564;0,002852418;2
102231;102231;0,5;Bleu;1;5;101902;0,002852418;2
102305;102305;0,5;Jaune;1;5;101976;0,002852418;2
102341;102341;0,51;Rouge;2;5;102012;0,002852418;2
103404;103404;0,35;Bleu;1;5;103073;0,002852418;2
103739;103739;1,14;Rouge;1;5;103406;0,002852418;2
104094;104094;1,19;Bleu;1;5;103761;0,002852418;2
104974;104974;1;Bleu;1;5;104639;0,002852418;2
105002;105002;0,7;Rouge;1;5;104667;0,002852418;2
105823;105823;0,51;Bleu;2;5;105483;0,002852418;2
106092;106092;0,85;Rouge;1;5;105750;0,002852418;2
106750;106750;0,32;Jaune;1;5;106405;0,002852418;2
106768;106768;0,42;Jaune;3;5;106423;0,002852418;2
107158;107158;0,43;Rouge;2;5;106810;0,002852418;2
108069;108069;0,9;Bleu;2;5;107717;0,002852418;2
108575;108575;0,55;Bleu;1;5;108221;0,002852418;2
109331;109331;1,01;Bleu;1;5;108975;0,002852418;2
110059;110059;0,71;Bleu;1;5;109702;0,002852418;2
114956;114956;1,01;Jaune;1;5;114582;0,002852418;2
115010;115010;0,27;Bleu;3;5;114636;0,002852418;2
115616;115616;1,2;Jaune;2;5;115241;0,002852418;2
116034;116034;0,9;Rouge;1;5;115658;0,002852418;2
118753;118753;1,51;Bleu;2;5;118361;0,002852418;2
119566;119566;0,5;Bleu;2;5;119171;0,002852418;2
120225;120225;0,55;Bleu;2;5;119826;0,002852418;2
120440;120440;0,71;Jaune;1;5;120041;0,002852418;2
598;598;1;Bleu;2;3;596;0,012889996;3
877;877;0,9;Bleu;3;3;875;0,012889996;3
1202;1202;0,26;Rouge;3;3;1199;0,012889996;3
2049;2049;1,01;Jaune;3;3;2043;0,012889996;3
2092;2092;0,41;Bleu;1;3;2086;0,012889996;3
2675;2675;0,76;Bleu;1;3;2665;0,012889996;3
2843;2843;1,14;Rouge;1;3;2833;0,012889996;3
3885;3885;0,71;Rouge;1;3;3871;0,012889996;3
3942;3942;0,59;Bleu;1;3;3928;0,012889996;3
3993;3993;1,31;Jaune;1;3;3979;0,012889996;3
4286;4286;0,62;Bleu;1;3;4272;0,012889996;3
4452;4452;0,8;Bleu;2;3;4438;0,012889996;3
4705;4705;0,33;Rouge;2;3;4690;0,012889996;3
5094;5094;0,32;Rouge;1;3;5077;0,012889996;3
6128;6128;0,5;Bleu;2;3;6106;0,012889996;3
6322;6322;0,43;Rouge;1;3;6299;0,012889996;3
7225;7225;0,48;Jaune;1;3;7200;0,012889996;3
7960;7960;0,72;Bleu;3;3;7934;0,012889996;3
8052;8052;0,5;Jaune;2;3;8026;0,012889996;3
8634;8634;0,33;Rouge;3;3;8606;0,012889996;3
8688;8688;1,11;Rouge;3;3;8660;0,012889996;3
9454;9454;0,86;Jaune;1;3;9424;0,012889996;3
9512;9512;1,21;Rouge;3;3;9481;0,012889996;3
9736;9736;0,71;Bleu;2;3;9704;0,012889996;3
9960;9960;1,21;Rouge;1;3;9927;0,012889996;3
10309;10309;0,3;Jaune;2;3;10275;0,012889996;3
10427;10427;0,33;Bleu;1;3;10393;0,012889996;3
10438;10438;0,71;Jaune;1;3;10404;0,012889996;3
10673;10673;0,32;Bleu;1;3;10638;0,012889996;3
10760;10760;1,7;Bleu;3;3;10725;0,012889996;3
10843;10843;0,4;Bleu;1;3;10808;0,012889996;3
10962;10962;0,59;Rouge;3;3;10927;0,012889996;3
11005;11005;1,03;Rouge;2;3;10970;0,012889996;3
11706;11706;2,11;Rouge;3;3;11669;0,012889996;3
12023;12023;0,5;Bleu;2;3;11985;0,012889996;3
12201;12201;0,26;Rouge;1;3;12163;0,012889996;3
12934;12934;0,4;Rouge;1;3;12895;0,012889996;3
13233;13233;0,42;Rouge;2;3;13193;0,012889996;3
13255;13255;0,3;Jaune;1;3;13214;0,012889996;3
13469;13469;1,53;Bleu;1;3;13427;0,012889996;3
14210;14210;0,7;Bleu;2;3;14167;0,012889996;3
14291;14291;1,5;Jaune;1;3;14248;0,012889996;3
14937;14937;0,96;Jaune;3;3;14891;0,012889996;3
16723;16723;1;Jaune;2;3;16670;0,012889996;3
16833;16833;0,24;Rouge;1;3;16780;0,012889996;3
17004;17004;1,2;Bleu;3;3;16951;0,012889996;3
17207;17207;0,71;Rouge;1;3;17154;0,012889996;3
18302;18302;0,31;Jaune;3;3;18247;0,012889996;3
18669;18669;0,9;Bleu;1;3;18614;0,012889996;3
18793;18793;0,3;Bleu;2;3;18738;0,012889996;3
19190;19190;0,41;Bleu;2;3;19135;0,012889996;3
20073;20073;0,36;Jaune;1;3;20014;0,012889996;3
20942;20942;0,78;Jaune;1;3;20878;0,012889996;3
21275;21275;0,3;Jaune;3;3;21210;0,012889996;3
21823;21823;0,31;Rouge;2;3;21756;0,012889996;3
21863;21863;1;Bleu;3;3;21796;0,012889996;3
21926;21926;0,31;Bleu;2;3;21859;0,012889996;3
22188;22188;0,36;Rouge;1;3;22120;0,012889996;3
22389;22389;0,29;Jaune;1;3;22320;0,012889996;3
23692;23692;1,66;Jaune;1;3;23619;0,012889996;3
23744;23744;0,43;Bleu;3;3;23671;0,012889996;3
24710;24710;0,59;Bleu;1;3;24633;0,012889996;3
25013;25013;0,34;Bleu;2;3;24934;0,012889996;3
25811;25811;0,32;Jaune;2;3;25728;0,012889996;3
26031;26031;1,2;Bleu;1;3;25948;0,012889996;3
26446;26446;1,13;Bleu;2;3;26360;0,012889996;3
26467;26467;1,27;Rouge;1;3;26381;0,012889996;3
26710;26710;1,22;Jaune;3;3;26624;0,012889996;3
26845;26845;0,52;Rouge;1;3;26757;0,012889996;3
27130;27130;0,34;Rouge;3;3;27041;0,012889996;3
27231;27231;0,7;Jaune;1;3;27142;0,012889996;3
28355;28355;0,27;Bleu;2;3;28262;0,012889996;3
28660;28660;1,51;Jaune;1;3;28566;0,012889996;3
28863;28863;0,52;Rouge;2;3;28769;0,012889996;3
29080;29080;0,95;Jaune;1;3;28986;0,012889996;3
29557;29557;0,32;Bleu;1;3;29461;0,012889996;3
30514;30514;0,38;Rouge;2;3;30417;0,012889996;3
30610;30610;0,53;Bleu;1;3;30513;0,012889996;3
31346;31346;0,54;Rouge;2;3;31246;0,012889996;3
31571;31571;2,07;Bleu;2;3;31468;0,012889996;3
32311;32311;0,73;Jaune;1;3;32203;0,012889996;3
34265;34265;0,27;Rouge;1;3;34153;0,012889996;3
34280;34280;0,7;Bleu;1;3;34168;0,012889996;3
34334;34334;1,52;Bleu;1;3;34222;0,012889996;3
35728;35728;0,35;Bleu;2;3;35609;0,012889996;3
35777;35777;0,5;Rouge;2;3;35658;0,012889996;3
35867;35867;1,24;Jaune;1;3;35748;0,012889996;3
36314;36314;0,3;Rouge;1;3;36195;0,012889996;3
36371;36371;1,23;Jaune;3;3;36252;0,012889996;3
36570;36570;0,59;Bleu;1;3;36451;0,012889996;3
37372;37372;0,36;Bleu;1;3;37250;0,012889996;3
37488;37488;1,23;Jaune;1;3;37366;0,012889996;3
38159;38159;0,38;Jaune;3;3;38034;0,012889996;3
38227;38227;0,4;Bleu;1;3;38102;0,012889996;3
38462;38462;1,05;Bleu;1;3;38337;0,012889996;3
38496;38496;0,4;Bleu;1;3;38371;0,012889996;3
38582;38582;0,74;Jaune;3;3;38457;0,012889996;3
38751;38751;2,07;Bleu;1;3;38625;0,012889996;3
38873;38873;0,91;Rouge;2;3;38747;0,012889996;3
38884;38884;0,7;Bleu;2;3;38758;0,012889996;3
39113;39113;0,61;Jaune;2;3;38987;0,012889996;3
39227;39227;0,3;Bleu;3;3;39101;0,012889996;3
39812;39812;0,34;Bleu;2;3;39685;0,012889996;3
39905;39905;0,71;Rouge;1;3;39777;0,012889996;3
40013;40013;0,33;Jaune;2;3;39885;0,012889996;3
40312;40312;0,3;Bleu;2;3;40183;0,012889996;3
40337;40337;0,55;Rouge;1;3;40208;0,012889996;3
41469;41469;0,33;Rouge;3;3;41336;0,012889996;3
41498;41498;1,52;Rouge;3;3;41365;0,012889996;3
41583;41583;1,53;Jaune;2;3;41450;0,012889996;3
41914;41914;0,34;Rouge;3;3;41781;0,012889996;3
42120;42120;0,74;Jaune;3;3;41986;0,012889996;3
42282;42282;1,55;Bleu;2;3;42148;0,012889996;3
42384;42384;2;Bleu;2;3;42250;0,012889996;3
42404;42404;0,3;Jaune;3;3;42270;0,012889996;3
42432;42432;0,41;Bleu;2;3;42297;0,012889996;3
42620;42620;0,38;Bleu;2;3;42484;0,012889996;3
42704;42704;1,25;Rouge;1;3;42568;0,012889996;3
43015;43015;2;Rouge;1;3;42878;0,012889996;3
43048;43048;0,9;Jaune;2;3;42911;0,012889996;3
43229;43229;0,53;Jaune;1;3;43092;0,012889996;3
43338;43338;2,04;Rouge;2;3;43201;0,012889996;3
43518;43518;0,36;Rouge;2;3;43379;0,012889996;3
43882;43882;1,05;Rouge;2;3;43742;0,012889996;3
44016;44016;0,73;Jaune;1;3;43876;0,012889996;3
44262;44262;0,28;Rouge;1;3;44122;0,012889996;3
44628;44628;0,71;Rouge;2;3;44485;0,012889996;3
44953;44953;1,29;Rouge;1;3;44809;0,012889996;3
45104;45104;0,31;Bleu;2;3;44958;0,012889996;3
45442;45442;1,24;Bleu;2;3;45294;0,012889996;3
45505;45505;0,33;Jaune;2;3;45356;0,012889996;3
45526;45526;0,27;Bleu;2;3;45377;0,012889996;3
45781;45781;0,74;Bleu;3;3;45631;0,012889996;3
45799;45799;0,3;Rouge;2;3;45649;0,012889996;3
45990;45990;1,53;Rouge;2;3;45840;0,012889996;3
46476;46476;0,51;Jaune;1;3;46325;0,012889996;3
46571;46571;0,31;Bleu;1;3;46420;0,012889996;3
46582;46582;0,31;Rouge;3;3;46431;0,012889996;3
47693;47693;1,01;Jaune;1;3;47535;0,012889996;3
48018;48018;0,71;Rouge;2;3;47860;0,012889996;3
48732;48732;0,71;Rouge;3;3;48571;0,012889996;3
48824;48824;1,72;Rouge;2;3;48662;0,012889996;3
48849;48849;1,1;Bleu;3;3;48687;0,012889996;3
49399;49399;0,38;Bleu;3;3;49236;0,012889996;3
50090;50090;0,8;Rouge;3;3;49927;0,012889996;3
50611;50611;0,32;Rouge;3;3;50447;0,012889996;3
50827;50827;1,01;Rouge;2;3;50663;0,012889996;3
51417;51417;0,71;Bleu;1;3;51252;0,012889996;3
52128;52128;0,9;Rouge;2;3;51963;0,012889996;3
52611;52611;0,55;Rouge;2;3;52446;0,012889996;3
52713;52713;0,5;Bleu;1;3;52548;0,012889996;3
52768;52768;0,33;Rouge;1;3;52602;0,012889996;3
53099;53099;1,01;Rouge;1;3;52933;0,012889996;3
53542;53542;0,94;Bleu;2;3;53375;0,012889996;3
53600;53600;1,61;Bleu;1;3;53433;0,012889996;3
54366;54366;0,45;Bleu;1;3;54197;0,012889996;3
54769;54769;0,7;Bleu;1;3;54599;0,012889996;3
54788;54788;0,38;Rouge;2;3;54618;0,012889996;3
54827;54827;1,34;Jaune;1;3;54657;0,012889996;3
55092;55092;0,77;Rouge;3;3;54921;0,012889996;3
55096;55096;0,38;Bleu;1;3;54925;0,012889996;3
56092;56092;0,51;Bleu;3;3;55915;0,012889996;3
56273;56273;1,16;Jaune;1;3;56095;0,012889996;3
56352;56352;0,34;Rouge;3;3;56174;0,012889996;3
56422;56422;0,33;Bleu;2;3;56244;0,012889996;3
56438;56438;0,51;Bleu;3;3;56260;0,012889996;3
56552;56552;1,52;Jaune;1;3;56374;0,012889996;3
57381;57381;0,5;Jaune;2;3;57197;0,012889996;3
57384;57384;1,15;Bleu;1;3;57200;0,012889996;3
58832;58832;0,5;Jaune;3;3;58645;0,012889996;3
59253;59253;0,57;Rouge;3;3;59065;0,012889996;3
59429;59429;0,23;Rouge;1;3;59240;0,012889996;3
60059;60059;0,29;Jaune;1;3;59870;0,012889996;3
60231;60231;0,33;Rouge;2;3;60041;0,012889996;3
60254;60254;2,03;Jaune;1;3;60064;0,012889996;3
60635;60635;2,01;Bleu;1;3;60444;0,012889996;3
61350;61350;1,51;Bleu;1;3;61156;0,012889996;3
61603;61603;1,01;Bleu;2;3;61408;0,012889996;3
61652;61652;1,07;Rouge;2;3;61457;0,012889996;3
61809;61809;1,02;Jaune;2;3;61612;0,012889996;3
61885;61885;0,51;Rouge;1;3;61688;0,012889996;3
62125;62125;0,9;Bleu;3;3;61928;0,012889996;3
62535;62535;1,28;Rouge;3;3;62336;0,012889996;3
62586;62586;1;Jaune;2;3;62386;0,012889996;3
62666;62666;1,52;Jaune;3;3;62466;0,012889996;3
62999;62999;1,01;Rouge;2;3;62798;0,012889996;3
63118;63118;0,6;Bleu;1;3;62917;0,012889996;3
63265;63265;0,61;Rouge;1;3;63064;0,012889996;3
63270;63270;0,91;Bleu;2;3;63069;0,012889996;3
63566;63566;1,52;Bleu;1;3;63364;0,012889996;3
63843;63843;0,31;Bleu;3;3;63640;0,012889996;3
64098;64098;0,53;Bleu;2;3;63894;0,012889996;3
64155;64155;1,01;Jaune;2;3;63951;0,012889996;3
64917;64917;1,01;Bleu;3;3;64711;0,012889996;3
65353;65353;0,58;Bleu;3;3;65144;0,012889996;3
65607;65607;0,51;Bleu;2;3;65396;0,012889996;3
66443;66443;0,51;Rouge;1;3;66232;0,012889996;3
66509;66509;1,29;Rouge;3;3;66298;0,012889996;3
66513;66513;0,53;Jaune;3;3;66302;0,012889996;3
66640;66640;0,4;Jaune;2;3;66428;0,012889996;3
66746;66746;0,51;Bleu;2;3;66533;0,012889996;3
67497;67497;0,5;Bleu;1;3;67281;0,012889996;3
67767;67767;0,33;Bleu;1;3;67551;0,012889996;3
67890;67890;0,74;Jaune;1;3;67674;0,012889996;3
68289;68289;0,32;Jaune;3;3;68072;0,012889996;3
68394;68394;1;Bleu;2;3;68176;0,012889996;3
68633;68633;0,43;Bleu;1;3;68415;0,012889996;3
69249;69249;0,32;Rouge;1;3;69028;0,012889996;3
71521;71521;0,27;Rouge;1;3;71289;0,012889996;3
71569;71569;1,23;Bleu;1;3;71336;0,012889996;3
71836;71836;1,61;Jaune;3;3;71602;0,012889996;3
71970;71970;0,36;Rouge;1;3;71736;0,012889996;3
72803;72803;1,36;Bleu;1;3;72567;0,012889996;3
72869;72869;0,43;Jaune;1;3;72633;0,012889996;3
73060;73060;1,34;Rouge;3;3;72823;0,012889996;3
74141;74141;1;Jaune;3;3;73900;0,012889996;3
74157;74157;0,33;Rouge;1;3;73916;0,012889996;3
74194;74194;1,28;Bleu;3;3;73953;0,012889996;3
74463;74463;2,24;Bleu;3;3;74220;0,012889996;3
74607;74607;2,09;Jaune;1;3;74362;0,012889996;3
74857;74857;0,3;Bleu;1;3;74609;0,012889996;3
76238;76238;0,34;Rouge;1;3;75986;0,012889996;3
76364;76364;0,56;Bleu;2;3;76112;0,012889996;3
77540;77540;0,61;Rouge;1;3;77284;0,012889996;3
77787;77787;0,37;Rouge;3;3;77531;0,012889996;3
77822;77822;0,72;Bleu;3;3;77566;0,012889996;3
78208;78208;0,43;Bleu;2;3;77949;0,012889996;3
78848;78848;0,3;Rouge;2;3;78585;0,012889996;3
79466;79466;1,08;Jaune;1;3;79200;0,012889996;3
79504;79504;0,32;Bleu;2;3;79238;0,012889996;3
79802;79802;0,6;Bleu;3;3;79535;0,012889996;3
80372;80372;0,53;Jaune;3;3;80104;0,012889996;3
80692;80692;1,13;Jaune;3;3;80424;0,012889996;3
81661;81661;1;Rouge;3;3;81391;0,012889996;3
81884;81884;0,26;Jaune;3;3;81614;0,012889996;3
82029;82029;0,35;Jaune;1;3;81759;0,012889996;3
82030;82030;1,11;Bleu;1;3;81760;0,012889996;3
82534;82534;0,75;Jaune;1;3;82264;0,012889996;3
82853;82853;0,59;Rouge;1;3;82583;0,012889996;3
82940;82940;0,31;Bleu;3;3;82670;0,012889996;3
83232;83232;0,3;Bleu;3;3;82958;0,012889996;3
83762;83762;0,9;Rouge;1;3;83483;0,012889996;3
83956;83956;0,34;Bleu;2;3;83677;0,012889996;3
84774;84774;1,23;Jaune;3;3;84493;0,012889996;3
84841;84841;0,7;Jaune;1;3;84560;0,012889996;3
85571;85571;1,08;Jaune;1;3;85288;0,012889996;3
85592;85592;0,4;Rouge;1;3;85309;0,012889996;3
85943;85943;0,55;Rouge;2;3;85658;0,012889996;3
85949;85949;0,45;Bleu;3;3;85664;0,012889996;3
86310;86310;1;Bleu;2;3;86025;0,012889996;3
86336;86336;0,23;Rouge;2;3;86051;0,012889996;3
87022;87022;0,7;Bleu;2;3;86733;0,012889996;3
87046;87046;1,5;Rouge;2;3;86757;0,012889996;3
87417;87417;0,3;Rouge;2;3;87128;0,012889996;3
88795;88795;1,11;Rouge;2;3;88505;0,012889996;3
89758;89758;1;Rouge;1;3;89466;0,012889996;3
89843;89843;1,11;Rouge;3;3;89550;0,012889996;3
90731;90731;0,32;Bleu;3;3;90431;0,012889996;3
91979;91979;0,41;Jaune;2;3;91678;0,012889996;3
92058;92058;2,01;Rouge;3;3;91757;0,012889996;3
92471;92471;0,7;Jaune;1;3;92168;0,012889996;3
92616;92616;0,34;Rouge;1;3;92312;0,012889996;3
93838;93838;0,71;Rouge;1;3;93532;0,012889996;3
93988;93988;1,01;Rouge;1;3;93681;0,012889996;3
94038;94038;0,36;Bleu;3;3;93731;0,012889996;3
94901;94901;0,53;Jaune;3;3;94592;0,012889996;3
94930;94930;0,78;Rouge;1;3;94621;0,012889996;3
